texto,usuario_id,articulo_id
Creo que faltaron ejemplos practicos,470,42
Me gusto mucho la explicacion fue muy completa,330,52
Me ayudo bastante para entender el concepto,560,52
Excelente aporte muchas gracias,64,32
Muy buen contenido espero mas publicaciones asi,969,30
Podrias profundizar mas en el tema tecnico,374,16
No estoy de acuerdo con algunos puntos pero es interesante,565,13
Podrias profundizar mas en el tema tecnico,744,8
Esta bien redactado y estructurado,372,35
Excelente aporte muchas gracias,994,37
Muy buen contenido espero mas publicaciones asi,49,37
Excelente aporte muchas gracias,332,6
No estoy de acuerdo con algunos puntos pero es interesante,634,37
Podrias profundizar mas en el tema tecnico,394,33
Podrias profundizar mas en el tema tecnico,771,24
Muy buen contenido espero mas publicaciones asi,23,7
Esta bien redactado y estructurado,15,25
No estoy de acuerdo con algunos puntos pero es interesante,733,11
Excelente articulo muy claro y facil de entender,989,27
Muy buen contenido espero mas publicaciones asi,69,30
